Freq.	V(vout2)/(-V(verr2))
5.01187233627270e+04	(5.39979978200196e+01dB,-8.02578686666402e+01°)
5.12861383991362e+04	(5.38036172115255e+01dB,-8.04762624904760e+01°)
5.24807460249770e+04	(5.36089904850123e+01dB,-8.06899726674252e+01°)
5.37031796370250e+04	(5.34141281350486e+01dB,-8.08990888448015e+01°)
5.49540873857622e+04	(5.32190402331591e+01dB,-8.11036997317088e+01°)
5.62341325190346e+04	(5.30237364428206e+01dB,-8.13038930566850e+01°)
5.75439937337154e+04	(5.28282260340216e+01dB,-8.14997555260536e+01°)
5.88843655355586e+04	(5.26325178975660e+01dB,-8.16913727911299e+01°)
6.02559586074354e+04	(5.24366205589160e+01dB,-8.18788294149100e+01°)
6.16595001861479e+04	(5.22405421917107e+01dB,-8.20622088447516e+01°)
6.30957344480190e+04	(5.20442906309300e+01dB,-8.22415933890017e+01°)
6.45654229034652e+04	(5.18478733856949e+01dB,-8.24170641978277e+01°)
6.60693448007592e+04	(5.16512976516434e+01dB,-8.25887012445099e+01°)
6.76082975391978e+04	(5.14545703229620e+01dB,-8.27565833110679e+01°)
6.91830970918932e+04	(5.12576980041103e+01dB,-8.29207879798234e+01°)
7.07945784384134e+04	(5.10606870210586e+01dB,-8.30813916216770e+01°)
7.24435960074986e+04	(5.08635434322304e+01dB,-8.32384693897161e+01°)
7.41310241300913e+04	(5.06662730391418e+01dB,-8.33920952186818e+01°)
7.58577575029179e+04	(5.04688813965313e+01dB,-8.35423418177142e+01°)
7.76247116628687e+04	(5.02713738223219e+01dB,-8.36892806746500e+01°)
7.94328234724277e+04	(5.00737554071054e+01dB,-8.38329820550916e+01°)
8.12830516164094e+04	(4.98760310233534e+01dB,-8.39735150057597e+01°)
8.31763771102666e+04	(4.96782053343092e+01dB,-8.41109473605078e+01°)
8.51138038202371e+04	(4.94802828025165e+01dB,-8.42453457445416e+01°)
8.70963589956075e+04	(4.92822676980861e+01dB,-8.43767755832293e+01°)
8.91250938133740e+04	(4.90841641066193e+01dB,-8.45053011095221e+01°)
9.12010839355904e+04	(4.88859759368517e+01dB,-8.46309853734315e+01°)
9.33254300796985e+04	(4.86877069280131e+01dB,-8.47538902524842e+01°)
9.54992586021430e+04	(4.84893606569029e+01dB,-8.48740764631290e+01°)
9.77237220955805e+04	(4.82909405446993e+01dB,-8.49916035727011e+01°)
9.99999999999994e+04	(4.80924498634866e+01dB,-8.51065300112593e+01°)
1.02329299228075e+05	(4.78938917425593e+01dB,-8.52189130858037e+01°)
1.04712854805089e+05	(4.76952691744458e+01dB,-8.53288089929902e+01°)
