Freq.	V(vout)/(-V(vn))
7.58577575029186e+00	(9.66951841549986e+01dB,-7.43506910990229e+00°)
7.94328234724284e+00	(9.66881747551629e+01dB,-7.78127619022038e+00°)
8.31763771102674e+00	(9.66805020819905e+01dB,-8.14318749217320e+00°)
8.70963589956084e+00	(9.66721047137488e+01dB,-8.52145494433423e+00°)
9.12010839355913e+00	(9.66629158067052e+01dB,-8.91674876125911e+00°)
9.54992586021439e+00	(9.66528626661135e+01dB,-9.32975661577071e+00°)
1.00000000000000e+01	(9.66418662984506e+01dB,-9.76118256481008e+00°)
1.04712854805090e+01	(9.66298409368019e+01dB,-1.02117456854916e+01°)
1.09647819614319e+01	(9.66166935489107e+01dB,-1.06821783925627e+01°)
1.14815362149689e+01	(9.66023233237358e+01dB,-1.11732243903760e+01°)
1.20226443461742e+01	(9.65866211452176e+01dB,-1.16856362234133e+01°)
1.25892541179417e+01	(9.65694690510765e+01dB,-1.22201723729207e+01°)
1.31825673855641e+01	(9.65507396875586e+01dB,-1.27775938602603e+01°)
1.38038426460289e+01	(9.65302957619126e+01dB,-1.33586603032329e+01°)
1.44543977074593e+01	(9.65079895044827e+01dB,-1.39641253832585e+01°)
1.51356124843621e+01	(9.64836621468915e+01dB,-1.45947316727261e+01°)
1.58489319246112e+01	(9.64571434289917e+01dB,-1.52512047808698e+01°)
1.65958690743757e+01	(9.64282511464751e+01dB,-1.59342467770824e+01°)
1.73780082874938e+01	(9.63967907590030e+01dB,-1.66445288686282e+01°)
1.81970085860999e+01	(9.63625550687072e+01dB,-1.73826832980824e+01°)
1.90546071796326e+01	(9.63253239962135e+01dB,-1.81492944666173e+01°)
1.99526231496889e+01	(9.62848644717207e+01dB,-1.89448892857025e+01°)
2.08929613085405e+01	(9.62409304645981e+01dB,-1.97699267876949e+01°)
2.18776162394956e+01	(9.61932631785576e+01dB,-2.06247870564259e+01°)
2.29086765276778e+01	(9.61415914376981e+01dB,-2.15097595635002e+01°)
2.39883291901950e+01	(9.60856322884124e+01dB,-2.24250310280076e+01°)
2.51188643150959e+01	(9.60250918429128e+01dB,-2.33706729578829e+01°)
2.63026799189540e+01	(9.59596663914477e+01dB,-2.43466290809337e+01°)
2.75422870333818e+01	(9.58890438003871e+01dB,-2.53527028979268e+01°)
2.88403150312662e+01	(9.58129052135957e+01dB,-2.63885456441471e+01°)
3.01995172040203e+01	(9.57309270680681e+01dB,-2.74536449860692e+01°)
3.16227766016840e+01	(9.56427834255135e+01dB,-2.85473148108864e+01°)
3.31131121482593e+01	(9.55481486115168e+01dB,-2.96686864912587e+01°)
3.46736850452534e+01	(9.54467001449066e+01dB,-3.08167020303269e+01°)
3.63078054770103e+01	(9.53381219251129e+01dB,-3.19901094843959e+01°)
3.80189396320563e+01	(9.52221076345451e+01dB,-3.31874610525347e+01°)
3.98107170553500e+01	(9.50983642959569e+01dB,-3.44071141703802e+01°)
4.16869383470338e+01	(9.49666159164728e+01dB,-3.56472359040864e+01°)
4.36515832240169e+01	(9.48266071370789e+01dB,-3.69058108556177e+01°)
4.57088189614878e+01	(9.46781067916006e+01dB,-3.81806526612006e+01°)
4.78630092322641e+01	(9.45209112873437e+01dB,-3.94694191130777e+01°)
5.01187233627275e+01	(9.43548476994311e+01dB,-4.07696307176122e+01°)
5.24807460249776e+01	(9.41797764912593e+01dB,-4.20786924543400e+01°)
5.49540873857628e+01	(9.39955937668563e+01dB,-4.33939182965814e+01°)
5.75439937337161e+01	(9.38022329853288e+01dB,-4.47125579993112e+01°)
6.02559586074362e+01	(9.35996660714913e+01dB,-4.60318254855119e+01°)
6.30957344480197e+01	(9.33879038899963e+01dB,-4.73489281657223e+01°)
6.60693448007600e+01	(9.31669960619163e+01dB,-4.86610964180104e+01°)
6.91830970918941e+01	(9.29370301313204e+01dB,-4.99656124780007e+01°)
7.24435960074995e+01	(9.26981301120915e+01dB,-5.12598380165476e+01°)
7.58577575029189e+01	(9.24504544655748e+01dB,-5.25412397390012e+01°)
7.94328234724287e+01	(9.21941935765310e+01dB,-5.38074124186577e+01°)
8.31763771102677e+01	(9.19295668125460e+01dB,-5.50560989178952e+01°)
8.70963589956087e+01	(9.16568192586830e+01dB,-5.62852068548703e+01°)
9.12010839355916e+01	(9.13762182248741e+01dB,-5.74928217131905e+01°)
9.54992586021443e+01	(9.10880496248828e+01dB,-5.86772163360510e+01°)
1.00000000000001e+02	(9.07926143193248e+01dB,-5.98368568477350e+01°)
1.04712854805091e+02	(9.04902245103698e+01dB,-6.09704051819367e+01°)
1.09647819614319e+02	(9.01812002629271e+01dB,-6.20767184622260e+01°)
1.14815362149689e+02	(8.98658662158429e+01dB,-6.31548455574290e+01°)
1.20226443461742e+02	(8.95445485340841e+01dB,-6.42040211905439e+01°)
1.25892541179418e+02	(8.92175721375546e+01dB,-6.52236579811830e+01°)
1.31825673855642e+02	(8.88852582323896e+01dB,-6.62133368475950e+01°)
1.38038426460290e+02	(8.85479221551313e+01dB,-6.71727961372140e+01°)
1.44543977074594e+02	(8.82058715329544e+01dB,-6.81019198736240e+01°)
1.51356124843622e+02	(8.78594047529516e+01dB,-6.90007254581926e+01°)
1.58489319246113e+02	(8.75088097261683e+01dB,-6.98693511195816e+01°)
1.65958690743757e+02	(8.71543629280654e+01dB,-7.07080433834583e+01°)
1.73780082874939e+02	(8.67963286921843e+01dB,-7.15171447733235e+01°)
1.81970085861000e+02	(8.64349587320331e+01dB,-7.22970819198060e+01°)
1.90546071796326e+02	(8.60704918650588e+01dB,-7.30483542153515e+01°)
1.99526231496890e+02	(8.57031539127584e+01dB,-7.37715231214696e+01°)
2.08929613085406e+02	(8.53331577509704e+01dB,-7.44672021891524e+01°)
2.18776162394957e+02	(8.49607034863934e+01dB,-7.51360478395528e+01°)
2.29086765276779e+02	(8.45859787368068e+01dB,-7.57787509238659e+01°)
2.39883291901951e+02	(8.42091589943357e+01dB,-7.63960290594550e+01°)
2.51188643150960e+02	(8.38304080534394e+01dB,-7.69886197297756e+01°)
2.63026799189540e+02	(8.34498784872639e+01dB,-7.75572741196149e+01°)
2.75422870333819e+02	(8.30677121581533e+01dB,-7.81027516498836e+01°)
2.88403150312663e+02	(8.26840407500998e+01dB,-7.86258151689117e+01°)
3.01995172040204e+02	(8.22989863129831e+01dB,-7.91272267601919e+01°)
3.16227766016841e+02	(8.19126618097930e+01dB,-7.96077441128311e+01°)
3.31131121482594e+02	(8.15251716599349e+01dB,-8.00681174114323e+01°)
3.46736850452535e+02	(8.11366122728422e+01dB,-8.05090866946095e+01°)
3.63078054770105e+02	(8.07470725675490e+01dB,-8.09313796407538e+01°)
3.80189396320565e+02	(8.03566344747082e+01dB,-8.13357097339257e+01°)
3.98107170553501e+02	(7.99653734185434e+01dB,-8.17227747691790e+01°)
4.16869383470339e+02	(7.95733587770071e+01dB,-8.20932556605066e+01°)
4.36515832240170e+02	(7.91806543189459e+01dB,-8.24478155132608e+01°)
4.57088189614879e+02	(7.87873186177605e+01dB,-8.27870989330865e+01°)
4.78630092322643e+02	(7.83934054412176e+01dB,-8.31117315344278e+01°)
5.01187233627277e+02	(7.79989641177240e+01dB,-8.34223196290930e+01°)
5.24807460249778e+02	(7.76040398793719e+01dB,-8.37194500651492e+01°)
5.49540873857630e+02	(7.72086741824704e+01dB,-8.40036901988868e+01°)
5.75439937337163e+02	(7.68129050062600e+01dB,-8.42755879754011e+01°)
6.02559586074364e+02	(7.64167671308012e+01dB,-8.45356721059686e+01°)
6.30957344480200e+02	(7.60202923949274e+01dB,-8.47844523218097e+01°)
6.60693448007603e+02	(7.56235099353620e+01dB,-8.50224196958100e+01°)
6.91830970918944e+02	(7.52264464079846e+01dB,-8.52500470164212e+01°)
7.24435960074998e+02	(7.48291261923326e+01dB,-8.54677892057200e+01°)
7.58577575029192e+02	(7.44315715803536e+01dB,-8.56760837712825e+01°)
7.94328234724290e+02	(7.40338029504592e+01dB,-8.58753512862585e+01°)
8.31763771102680e+02	(7.36358389278199e+01dB,-8.60659958874062e+01°)
8.70963589956090e+02	(7.32376965318967e+01dB,-8.62484057892343e+01°)
9.12010839355920e+02	(7.28393913120892e+01dB,-8.64229538067137e+01°)
9.54992586021446e+02	(7.24409374723687e+01dB,-8.65899978831071e+01°)
1.00000000000001e+03	(7.20423479857135e+01dB,-8.67498816192961e+01°)
1.04712854805091e+03	(7.16436346991200e+01dB,-8.69029348021786e+01°)
1.09647819614320e+03	(7.12448084299034e+01dB,-8.70494739286389e+01°)
1.14815362149690e+03	(7.08458790539724e+01dB,-8.71898027239956e+01°)
1.20226443461743e+03	(7.04468555867017e+01dB,-8.73242126524085e+01°)
1.25892541179418e+03	(7.00477462569953e+01dB,-8.74529834182955e+01°)
1.31825673855642e+03	(6.96485585750889e+01dB,-8.75763834582846e+01°)
1.38038426460290e+03	(6.92492993945883e+01dB,-8.76946704210967e+01°)
1.44543977074594e+03	(6.88499749692287e+01dB,-8.78080916373034e+01°)
1.51356124843623e+03	(6.84505910047711e+01dB,-8.79168845755554e+01°)
1.58489319246113e+03	(6.80511527064539e+01dB,-8.80212772879823e+01°)
1.65958690743758e+03	(6.76516648223550e+01dB,-8.81214888420846e+01°)
1.73780082874940e+03	(6.72521316830150e+01dB,-8.82177297407197e+01°)
1.81970085861001e+03	(6.68525572376274e+01dB,-8.83102023294619e+01°)
1.90546071796327e+03	(6.64529450870903e+01dB,-8.83991011917168e+01°)
1.99526231496890e+03	(6.60532985141793e+01dB,-8.84846135318623e+01°)
2.08929613085406e+03	(6.56536205110858e+01dB,-8.85669195463367e+01°)
2.18776162394958e+03	(6.52539138045447e+01dB,-8.86461927832477e+01°)
2.29086765276780e+03	(6.48541808787536e+01dB,-8.87226004907612e+01°)
2.39883291901952e+03	(6.44544239962724e+01dB,-8.87963039548694e+01°)
2.51188643150961e+03	(6.40546452170726e+01dB,-8.88674588265267e+01°)
2.63026799189541e+03	(6.36548464158929e+01dB,-8.89362154385843e+01°)
2.75422870333820e+03	(6.32550292980451e+01dB,-8.90027191135371e+01°)
2.88403150312664e+03	(6.28551954137994e+01dB,-8.90671104616410e+01°)
3.01995172040205e+03	(6.24553461714700e+01dB,-8.91295256708515e+01°)
3.16227766016842e+03	(6.20554828493067e+01dB,-8.91900967877001e+01°)
3.31131121482595e+03	(6.16556066062943e+01dB,-8.92489519912961e+01°)
3.46736850452536e+03	(6.12557184919471e+01dB,-8.93062158591230e+01°)
3.63078054770106e+03	(6.08558194551835e+01dB,-8.93620096265219e+01°)
3.80189396320566e+03	(6.04559103523499e+01dB,-8.94164514392332e+01°)
3.98107170553503e+03	(6.00559919544653e+01dB,-8.94696566004365e+01°)
4.16869383470341e+03	(5.96560649537481e+01dB,-8.95217378118692e+01°)
4.36515832240172e+03	(5.92561299694721e+01dB,-8.95728054098192e+01°)
4.57088189614881e+03	(5.88561875532109e+01dB,-8.96229675967996e+01°)
4.78630092322645e+03	(5.84562381935083e+01dB,-8.96723306686490e+01°)
5.01187233627279e+03	(5.80562823200156e+01dB,-8.97209992380060e+01°)
5.24807460249780e+03	(5.76563203071311e+01dB,-8.97690764546187e+01°)
5.49540873857632e+03	(5.72563524771716e+01dB,-8.98166642222281e+01°)
5.75439937337165e+03	(5.68563791031033e+01dB,-8.98638634135486e+01°)
6.02559586074366e+03	(5.64564004108546e+01dB,-8.99107740829241e+01°)
6.30957344480202e+03	(5.60564165812309e+01dB,-8.99574956772528e+01°)
6.60693448007605e+03	(5.56564277514471e+01dB,-9.00041272458987e+01°)
6.91830970918946e+03	(5.52564340162888e+01dB,-9.00507676498856e+01°)
7.24435960075000e+03	(5.48564354289181e+01dB,-9.00975157704485e+01°)
7.58577575029195e+03	(5.44564320013230e+01dB,-9.01444707179178e+01°)
7.94328234724293e+03	(5.40564237044183e+01dB,-9.01917320410293e+01°)
8.31763771102683e+03	(5.36564104678004e+01dB,-9.02393999370823e+01°)
8.70963589956093e+03	(5.32563921791498e+01dB,-9.02875754635752e+01°)
9.12010839355923e+03	(5.28563686832799e+01dB,-9.03363607515138e+01°)
9.54992586021450e+03	(5.24563397808210e+01dB,-9.03858592210214e+01°)
1.00000000000001e+04	(5.20563052265314e+01dB,-9.04361757995028e+01°)
1.04712854805092e+04	(5.16562647272195e+01dB,-9.04874171430096e+01°)
1.09647819614320e+04	(5.12562179392590e+01dB,-9.05396918610704e+01°)
1.14815362149690e+04	(5.08561644656783e+01dB,-9.05931107455337e+01°)
1.20226443461743e+04	(5.04561038527980e+01dB,-9.06477870038520e+01°)
1.25892541179419e+04	(5.00560355863878e+01dB,-9.07038364973145e+01°)
1.31825673855643e+04	(4.96559590873125e+01dB,-9.07613779845550e+01°)
1.38038426460291e+04	(4.92558737066280e+01dB,-9.08205333710280e+01°)
1.44543977074595e+04	(4.88557787200889e+01dB,-9.08814279647416e+01°)
1.51356124843623e+04	(4.84556733220181e+01dB,-9.09441907388374e+01°)
1.58489319246114e+04	(4.80555566184907e+01dB,-9.10089546015041e+01°)
1.65958690743759e+04	(4.76554276197735e+01dB,-9.10758566736573e+01°)
1.73780082874940e+04	(4.72552852319543e+01dB,-9.11450385750062e+01°)
1.81970085861001e+04	(4.68551282476962e+01dB,-9.12166467189510e+01°)
1.90546071796328e+04	(4.64549553360358e+01dB,-9.12908326167998e+01°)
1.99526231496891e+04	(4.60547650311422e+01dB,-9.13677531919604e+01°)
2.08929613085407e+04	(4.56545557199411e+01dB,-9.14475711044457e+01°)
2.18776162394959e+04	(4.52543256285054e+01dB,-9.15304550864355e+01°)
2.29086765276781e+04	(4.48540728070941e+01dB,-9.16165802892483e+01°)
2.39883291901953e+04	(4.44537951137215e+01dB,-9.17061286423310e+01°)
2.51188643150962e+04	(4.40534901961160e+01dB,-9.17992892248173e+01°)
