Freq.	V(vout)/(-V(vn))
2.63026799189540e+01	(1.00447279044333e+02dB,-4.02137273743606e+01°)
2.75422870333818e+01	(1.00276052785977e+02dB,-4.15192644326143e+01°)
2.88403150312662e+01	(1.00095754710814e+02dB,-4.28321131640212e+01°)
3.01995172040203e+01	(9.99063022218432e+01dB,-4.41495470468126e+01°)
3.16227766016840e+01	(9.97076507927303e+01dB,-4.54687914993968e+01°)
3.31131121482593e+01	(9.94997947144138e+01dB,-4.67870528823814e+01°)
3.46736850452534e+01	(9.92827671928903e+01dB,-4.81015480092263e+01°)
3.63078054770103e+01	(9.90566397894718e+01dB,-4.94095333754036e+01°)
3.80189396320563e+01	(9.88215212263685e+01dB,-5.07083333812447e+01°)
3.98107170553500e+01	(9.85775555985276e+01dB,-5.19953668452139e+01°)
4.16869383470338e+01	(9.83249200535030e+01dB,-5.32681711912757e+01°)
4.36515832240169e+01	(9.80638220177131e+01dB,-5.45244238041523e+01°)
4.57088189614878e+01	(9.77944960566526e+01dB,-5.57619601476105e+01°)
4.78630092322641e+01	(9.75172004673547e+01dB,-5.69787884061782e+01°)
5.01187233627275e+01	(9.72322136998923e+01dB,-5.81731005134072e+01°)
5.24807460249776e+01	(9.69398307047592e+01dB,-5.93432795788363e+01°)
5.49540873857628e+01	(9.66403592956755e+01dB,-6.04879038319362e+01°)
5.75439937337161e+01	(9.63341166084376e+01dB,-6.16057473037728e+01°)
6.02559586074362e+01	(9.60214257246291e+01dB,-6.26957775427536e+01°)
6.30957344480197e+01	(9.57026125155732e+01dB,-6.37571507097436e+01°)
6.60693448007600e+01	(9.53780027503414e+01dB,-6.47892044551796e+01°)
6.91830970918941e+01	(9.50479194960248e+01dB,-6.57914489655520e+01°)
7.24435960074995e+01	(9.47126808280854e+01dB,-6.67635565869366e+01°)
7.58577575029189e+01	(9.43725978566065e+01dB,-6.77053504037556e+01°)
7.94328234724287e+01	(9.40279730655910e+01dB,-6.86167921339498e+01°)
8.31763771102677e+01	(9.36790989533503e+01dB,-6.94979696442647e+01°)
8.70963589956087e+01	(9.33262569585659e+01dB,-7.03490843900347e+01°)
9.12010839355916e+01	(9.29697166486828e+01dB,-7.11704389828792e+01°)
9.54992586021443e+01	(9.26097351484391e+01dB,-7.19624251156519e+01°)
1.00000000000001e+02	(9.22465567806359e+01dB,-7.27255119602352e+01°)
1.04712854805091e+02	(9.18804128950033e+01dB,-7.34602351951182e+01°)
1.09647819614319e+02	(9.15115218572799e+01dB,-7.41671867064117e+01°)
1.14815362149689e+02	(9.11400891751844e+01dB,-7.48470050458932e+01°)
1.20226443461742e+02	(9.07663077370322e+01dB,-7.55003666540318e+01°)
1.25892541179418e+02	(9.03903581420366e+01dB,-7.61279778644736e+01°)
1.31825673855642e+02	(9.00124091031515e+01dB,-7.67305676869872e+01°)
1.38038426460290e+02	(8.96326179043585e+01dB,-7.73088813229533e+01°)
1.44543977074594e+02	(8.92511308985034e+01dB,-7.78636744120352e+01°)
1.51356124843622e+02	(8.88680840316853e+01dB,-7.83957079451156e+01°)
1.58489319246113e+02	(8.84836033836890e+01dB,-7.89057438153189e+01°)
1.65958690743757e+02	(8.80978057148002e+01dB,-7.93945409501308e+01°)
1.73780082874939e+02	(8.77107990116790e+01dB,-7.98628519883952e+01°)
1.81970085861000e+02	(8.73226830255564e+01dB,-8.03114204377642e+01°)
